Country Code,year,gdp,inflation,govexp,literacy_rate
ABW,1970,1184220177.4478395,2.446481477384214,5.390460014343262,97.47782707214355
AFG,1970,1748886595.55556,25.51000022888184,2.6923037171363844,28.95752398173017
AGO,1970,26122388895.66278,7.96999979019165,3.117086683000837,68.57184346516927
ALB,1970,4477798007.687516,15.221139720479089,3.3668634414672853,97.55583953857423
ARE,1970,124174090039.84364,21.984699249267575,2.0256467103958142,81.68737411499026
ARG,1970,31584210365.5447,13.586899757385254,1.4580899477005,98.25648615910455
ARM,1970,3411659248.013346,310.3541192350558,2.67425045867761,99.52760314941406
ATG,1970,579804757.3891925,8.869999885559082,2.841239103904137,98.9499969482422
AZE,1970,14678747979.835789,137.2168051408141,3.140268463354844,99.68450546264648
BDI,1970,242732571.428571,-0.1996510028839111,4.611830746686017,53.12568092346192
BEN,1970,333627758.154666,6.320000171661377,2.8802348064339687,32.6055826459612
BFA,1970,458404330.125096,1.7726000547409058,3.5355524718761435,25.1344241142273
BGD,1970,8992721809.39332,3.539999961853028,1.7766872985022408,59.4092129298619
BGR,1970,22497560945.75715,-0.4000000059604645,3.831792206599795,98.32533518473308
BHR,1970,10617093027.184528,1.628980040550232,2.681779980659485,84.71869659423827
BLR,1970,19914459083.324207,0.0,5.190407853377493,99.24128913879396
BLZ,1970,53233532.9341317,21.40999984741211,6.530758268692914,76.03380076090492
BOL,1970,1017003367.00337,3.955509901046753,8.316376772793857,87.55273628234863
BRA,1970,42327664793.6934,22.26000022888184,5.166201385584745,90.0783462524414
BRB,1970,2225541591.650501,7.284220218658447,5.354309986035028,99.2680816650391
BRN,1970,179080099.307461,0.800000011920929,6.23915004730225,91.51674524943034
BTN,1970,623736760.1298324,5.650000095367432,6.095918602413603,61.410848617553725
BWA,1970,96245114.4611949,4.059999942779541,6.3450733290778265,78.86426798502607
CAF,1970,189106554.521277,4.599999904632568,1.8208500009316664,35.6906983057658
CHL,1970,9126309734.51328,32.511600494384766,3.8241936248891504,95.9809326171875
CHN,1970,92602973434.0726,1.059999942779541,2.4853317156070616,87.22095489501953
CIV,1970,1455482990.24143,8.20518970489502,5.86538982391357,49.002290725708
CMR,1970,1151217146.98569,5.858089923858643,2.830434080213309,67.81614303588866
COL,1970,7198360460.19887,6.9086198806762695,3.932797238744538,93.46957111358644
COM,1970,425478060.2961595,4.320000171661377,2.76665872335434,57.28232421875
CPV,1970,629550461.455645,4.389999866485596,5.80948295091328,80.36107635498047
CRI,1970,984830158.490566,4.652299880981445,5.55757030125322,96.16152038574218
CYM,1970,1260719930.9282136,2.3784475856154503,2.115682721138,98.8678207397461
CYP,1970,9671580116.92396,2.400190114974976,4.889727109954471,97.30113220214844
DOM,1970,1485500000.0,3.8166699409484863,2.64078998565674,89.24248712713069
DZA,1970,4863487492.65763,6.599999904632568,6.453123982747396,69.73938827514648
ECU,1970,2862504169.99893,5.129990100860596,2.00283002853394,92.02127408981325
ERI,1970,320581605.0869155,9.378158342107136,3.481281518936158,64.58248011271156
ESP,1970,40992995008.3195,5.757619857788086,1.83300995826721,97.54389280431413
EST,1970,7974092666.317512,49.35282740188685,5.404097576141357,99.81235694885254
ETH,1970,18923746424.316265,10.121999740600586,4.025005531311035,36.6997699737549
GAB,1970,323802475.477281,3.812659978866577,3.0491166909535723,81.16115760803223
GEO,1970,4917117362.470762,644.4484539132628,3.013873977661133,99.54030990600586
GHA,1970,2215029450.3805,3.0302999019622803,4.704415333271027,72.20354461669922
GIN,1970,3402800061.850502,4.329999923706055,2.239290439564249,32.086171785990416
GNB,1970,78733594.8411852,4.400000095367432,2.491043339172999,39.94679498672485
GNQ,1970,66331428.5714286,1.6799999475479126,2.18797993659973,91.33941650390624
GRC,1970,13139863636.3636,3.191849946975708,1.54649996757507,94.41284942626952
GRD,1970,391375426.1202186,18.459999084472656,3.722924947738648,97.7944717407227
GTM,1970,1904000000.0,2.3443400859832764,1.85871994495392,76.29478236607143
GUY,1970,267800000.0,3.369999885559082,4.32897996902466,86.4945805867513
HND,1970,723000000.0,2.880889892578125,4.823789812624455,85.82756042480469
HRV,1970,20816883755.91297,116.31222774034586,4.313751893884994,98.3558979034424
HTI,1970,331200000.0,1.3684899806976318,1.3711642898046053,50.963740348815904
HUN,1970,51664891729.89662,4.25,4.937052743188266,99.03957176208498
IDN,1970,9150684931.50685,12.348899841308594,2.654844796657563,90.51284853617352
IND,1970,62422483054.6667,5.095240116119385,3.845012627149884,59.4050407409668
IRQ,1970,3281713805.65668,4.355599880218506,3.806467962265012,79.17536544799806
ISR,1970,102400631144.23552,6.110740184783936,5.98976004641989,91.7514114379883
ITA,1970,113395315985.13,4.807690143585205,3.36681008338928,98.44606018066408
JAM,1970,1404776071.04284,14.727999687194824,5.026653936034755,84.01005935668945
JOR,1970,639596751.610193,6.800000190734863,3.63003993034363,91.44581943088107
KAZ,1970,50478789556.274025,223.47177098448736,3.230060152385546,99.35628509521484
KEN,1970,1603447357.25171,2.1885299682617188,5.454907226562499,79.45482482910157
KGZ,1970,2197390287.0207634,48.81224617015785,5.524313587408799,99.28275871276855
KHM,1970,718401157.724163,12.100000381469728,1.9019475976626088,76.63511657714844
KWT,1970,2873984878.18538,8.270000457763672,4.616534207996568,88.25939356486002
LAO,1970,3722869365.194184,0.3199999928474426,2.371378789777341,71.61286980765207
LBN,1970,14329210106.853312,0.0099999997764825,2.206172611402429,92.79151916503903
LBR,1970,789917977.0491803,1.5199999809265137,2.197291483481725,41.11640294392907
LBY,1970,25087460305.75608,-5.296370029449463,2.26416993141174,74.25479634602863
