Country Code,year,gdp
ARE,1961,124174090039.84363
ARG,1961,208049823736.3163
ARM,1961,3411659248.013346
ASM,1961,197081967.21311477
ATG,1961,579804757.3891925
AUS,1961,19681935267.1072
AUT,1961,7311749633.36229
AZE,1961,14678747979.835789
BDI,1961,202999992.0
BEL,1961,12400145221.595
BEN,1961,235668222.429984
BFA,1961,350247237.11684
BGD,1961,4817580183.60155
BGR,1961,22497560945.75715
BHR,1961,10617093027.184528
BHS,1961,190098039.215686
BIH,1961,5842961621.574733
BLR,1961,19914459083.324207
BLZ,1961,29964370.7125857
BMU,1961,89249986.6972895
BOL,1961,406684585.719294
BRA,1961,17275940449.3837
BRB,1961,2225541591.650501
BRN,1961,5851795996.03707
BTN,1961,623736760.1298324
BWA,1961,32902336.644746
CAF,1961,123134584.467673
CAN,1961,40934952063.9468
CHE,1961,10712712465.0522
CHL,1961,4609727272.72727
CHN,1961,50056868957.6732
CIV,1961,618245639.221382
CMR,1961,652777613.643638
COD,1961,3086746857.14286
COG,1961,151675739.160627
COL,1961,4540447761.19403
COM,1961,425478060.2961595
CPV,1961,629550461.455645
CRI,1961,490325181.614275
CUB,1961,32633137648.291573
CUW,1961,529907840.4615807
CYM,1961,1260719930.9282136
CYP,1961,9671580116.92396
CZE,1961,75018948266.27742
DEU,1961,1787891308812.6345
DJI,1961,692268782.3177625
DMA,1961,233856842.568306
DNK,1961,155554999311.97568
DOM,1961,654100200.0
DZA,1961,2434727329.809
ECU,1961,1753850416.75551
EGY,1961,94231664118.54344
ERI,1961,320581605.0869155
ESP,1961,13834300571.4849
EST,1961,7974092666.317512
ETH,1961,18923746424.316265
FIN,1961,5921659485.03284
FJI,1961,116987784.913739
FRA,1961,67461644222.0352
FRO,1961,892835598.2792426
FSM,1961,152349057.37704918
GAB,1961,167637908.489803
GBR,1961,77741965703.3544
GEO,1961,4917117362.470762
GHA,1961,1302521008.40336
GIB,1961,0.0
GIN,1961,3402800061.850502
GMB,1961,645440637.0185436
GNB,1961,416237486.50807923
GNQ,1961,4404947263.594243
GRC,1961,4961400439.31722
GRD,1961,391375426.1202186
GRL,1961,1097504403.3783352
GTM,1961,1076699900.0
GUM,1961,1664213114.7540984
GUY,1961,185848451.262906
HKG,1961,1383681651.13776
HND,1961,356200000.0
HRV,1961,20816883755.912975
HTI,1961,271066000.0
HUN,1961,51664891729.89662
IDN,1961,285875264262.00415
IMN,1961,1775935307.4528196
IND,1961,39232435784.0358
IRL,1961,2088012282.35667
IRN,1961,4426949094.8403
IRQ,1961,1831700364.04369
ISL,1961,253885656.329253
ISR,1961,3138500000.0
ITA,1961,44842760293.1924
JAM,1961,748028839.423211
JOR,1961,11985653782.787558
JPN,1961,53508617739.3778
KAZ,1961,50478789556.274025
KEN,1961,792959472.139024
KGZ,1961,2197390287.0207634
KHM,1961,642857134.285714
KIR,1961,74729348.03210096
KNA,1961,12483229.3064224
KOR,1961,2417638423.22215
KWT,1961,46935229918.14313
LAO,1961,3722869365.194184
LBN,1961,14329210106.853313
LBR,1961,789917977.0491803
LBY,1961,25087460305.756077
LCA,1961,701726966.7936614
LIE,1961,2193283096.0771823
LKA,1961,1444327731.09244
LSO,1961,35699286.0142797
LTU,1961,14620656984.757362
LUX,1961,704145671.350213
LVA,1961,9626594160.326801
MAC,1961,11827844302.55251
MAF,1961,25390845.563466016
MAR,1961,2025689536.60705
MCO,1961,2809643426.9324136
MDA,1961,2575563921.5457025
MDG,1961,699161943.864184
MDV,1961,1105258840.6221232
MEX,1961,14160000000.0
MHL,1961,86553181.96721311
MKD,1961,3892711296.396571
MLI,1961,4795835502.108938
MLT,1961,4361712304.097336
MMR,1961,584351384.464088
