Country Code,year,literacy_rate
ABW,1960,97.47782707214355
AFE,1960,63.03711902394014
AFG,1960,28.957523981730166
AFW,1960,50.0272658665975
AGO,1960,68.57184346516927
ALB,1960,97.55583953857423
ARB,1960,61.18744624744762
ARE,1960,81.68737411499026
ARG,1960,98.25648615910457
ARM,1960,99.52760314941406
ASM,1960,97.3441619873047
ATG,1960,98.9499969482422
AZE,1960,99.68450546264648
BDI,1960,53.125680923461914
BEN,1960,32.6055826459612
BFA,1960,25.1344241142273
BGD,1960,59.4092129298619
BGR,1960,98.32533518473308
BHR,1960,84.71869659423827
BIH,1960,95.79209899902347
BLR,1960,99.24128913879395
BLZ,1960,76.03380076090492
BOL,1960,87.55273628234863
BRA,1960,90.0783462524414
BRB,1960,99.52801259358723
BRN,1960,91.51674524943034
BTN,1960,61.410848617553725
BWA,1960,78.86426798502607
CAF,1960,35.6906983057658
CEB,1960,98.58594943315555
CHL,1960,95.9809326171875
CHN,1960,87.22095489501953
CIV,1960,49.002290725708
CMR,1960,67.81614303588866
COD,1960,72.09168090820313
COG,1960,75.19076919555667
COL,1960,93.46957111358643
COM,1960,57.28232421875
CPV,1960,80.36107635498047
CRI,1960,96.16152038574218
CSS,1960,88.96788754670516
CUB,1960,99.26784133911136
CYM,1960,98.8678207397461
CYP,1960,97.30113220214845
DOM,1960,89.24248712713069
DZA,1960,69.73938827514648
EAP,1960,84.51315409342448
EAR,1960,64.84660588140073
EAS,1960,84.89894375271267
ECA,1960,96.98764138472708
ECS,1960,97.01198998812971
ECU,1960,92.02127408981323
EGY,1960,63.45237197875978
ERI,1960,64.58248011271156
ESP,1960,97.54389280431411
EST,1960,99.81235694885254
ETH,1960,36.6997699737549
FCS,1960,62.10961347307477
GAB,1960,81.16115760803223
GEO,1960,99.54030990600586
GHA,1960,72.20354461669922
GIN,1960,32.086171785990416
GMB,1960,46.90143775939943
GNB,1960,39.94679498672485
GNQ,1960,91.33941650390625
GRC,1960,94.41284942626952
GRD,1960,98.43241119384766
GTM,1960,76.29478236607143
GUM,1960,98.44993082682294
GUY,1960,86.4945805867513
HND,1960,85.82756042480469
HPC,1960,52.12203096662249
HRV,1960,98.3558979034424
HTI,1960,50.963740348815904
HUN,1960,99.03957176208498
IBD,1960,78.19124578393024
IBT,1960,73.7455997467041
IDA,1960,55.00329914093017
IDB,1960,58.00204021174734
IDN,1960,90.51284853617351
IDX,1960,53.35686883926392
IND,1960,59.4050407409668
IRN,1960,75.33899336594803
IRQ,1960,79.17536544799806
ISR,1960,91.7514114379883
ITA,1960,98.44606018066409
JAM,1960,84.01005935668945
JOR,1960,91.44581943088107
KAZ,1960,99.35628509521483
KEN,1960,79.45482482910157
KGZ,1960,99.28275871276857
KHM,1960,76.63511657714844
KOR,1960,98.38297271728516
KWT,1960,88.25939356486002
LAC,1960,86.45882188512924
LAO,1960,71.61286980765207
LBN,1960,92.79151916503905
LBR,1960,41.11640294392907
LBY,1960,74.25479634602863
LCN,1960,87.10727399460812
LDC,1960,51.589619159698486
LIC,1960,52.48079334605825
LKA,1960,91.06365509033203
LMC,1960,63.67632028330927
LMY,1960,73.33034283181895
LSO,1960,79.92745780944824
LTE,1960,86.48990851508246
LTU,1960,99.43315505981444
LVA,1960,99.77481536865231
MAC,1960,94.07697168986003
MAR,1960,59.71655139923096
MDA,1960,97.99781036376953
MDG,1960,69.93421999613444
MDV,1960,95.08935970730252
MEA,1960,63.736713806788124
MEX,1960,92.45526733398437
MHL,1960,98.2650833129883
MIC,1960,75.00809719251549
MKD,1960,96.39691925048828
MLI,1960,26.630868805779343
MLT,1960,91.65202967325847
MMR,1960,83.28332901000975
MNA,1960,60.870686745157045
MNE,1960,96.19014867146812
MNG,1960,98.40304311116536
MOZ,1960,49.22323799133303
MRT,1960,55.84755935668945
MUS,1960,89.68531460232205
MWI,1960,61.42992083231609
MYS,1960,89.25326347351074
NAC,1960,98.58093770345054
NAM,1960,84.88322067260744
NCL,1960,95.12378387451172
NER,1960,29.199770164489735
NGA,1960,58.70238952636716
NIC,1960,79.0982208251953
NPL,1960,50.140652338663735
OMN,1960,90.7588472366333
OSS,1960,78.93879599320262
PAK,1960,52.573090616862
PAN,1960,92.33220418294269
PER,1960,90.91378901554988
PHL,1960,93.58629608154297
PLW,1960,96.00609588623047
PNG,1960,59.47163009643555
POL,1960,98.9541900634766
PRE,1960,55.88557434082031
PRI,1960,90.62475891113283
PRK,1960,99.9981918334961
PRT,1960,90.95561981201175
PRY,1960,92.89151218959265
PSE,1960,94.94778666776769
PSS,1960,89.42428391979587
QAT,1960,89.21031365027794
ROU,1960,98.07127075195315
RUS,1960,99.30827026367187
RWA,1960,64.38606882095337
SAS,1960,53.81211289115574
SAU,1960,86.7283935546875
SDN,1960,58.52014414469403
SEN,1960,44.95268774032592
SGP,1960,94.9473490033831
SLB,1960,76.5999984741211
SLE,1960,39.539822578430176
SLV,1960,85.51893615722656
SOM,1960,5.40465021133423
SRB,1960,98.17092132568357
SSA,1960,57.555087407430015
SSD,1960,30.6770191192627
SSF,1960,57.56022368537055
SST,1960,82.24061715262276
STP,1960,80.25304576328823
SUR,1960,93.52444712320965
SVN,1960,99.63112831115723
SWZ,1960,77.50379753112793
SYC,1960,91.64979298909505
SYR,1960,76.42181873321535
TCD,1960,23.334138393402117
TEA,1960,84.31274252997504
TEC,1960,97.2610246758712
TGO,1960,59.641998291015625
THA,1960,93.1254768371582
TJK,1960,99.16117668151855
TKM,1960,99.2927729288737
TLA,1960,86.72363719534367
TLS,1960,56.895162200927736
TMN,1960,60.18117530822754
TON,1960,99.28603235880534
TSA,1960,53.81211289115574
TSS,1960,57.56022368537055
TTO,1960,97.12721824645995
TUN,1960,75.34804238213434
TUR,1960,87.93074904547797
TZA,1960,72.35553741455078
UGA,1960,70.65151814052037
UKR,1960,99.8015874226888
UMC,1960,86.2286878797743
URY,1960,97.81686939912684
UZB,1960,99.79731859479632
VCT,1960,96.26607894897461
VEN,1960,93.80071512858073
VNM,1960,90.1885223388672
VUT,1960,74.18502807617188
WLD,1960,78.24917416042751
WSM,1960,98.77833938598634
YEM,1960,45.5949993133545
ZAF,1960,90.04555372758344
ZMB,1960,74.3617172241211
ZWE,1960,84.65657501220704
ABW,1961,97.47782707214355
AFE,1961,63.03711902394014
AFG,1961,28.957523981730166
AFW,1961,50.0272658665975
AGO,1961,68.57184346516927
ALB,1961,97.55583953857423
ARB,1961,61.18744624744762
ARE,1961,81.68737411499026
ARG,1961,98.25648615910457
ARM,1961,99.52760314941406
ASM,1961,97.3441619873047
ATG,1961,98.9499969482422
AZE,1961,99.68450546264648
BDI,1961,53.125680923461914
BEN,1961,32.6055826459612
BFA,1961,25.1344241142273
BGD,1961,59.4092129298619
BGR,1961,98.32533518473308
BHR,1961,84.71869659423827
BIH,1961,95.79209899902347
BLR,1961,99.24128913879395
BLZ,1961,76.03380076090492
BOL,1961,87.55273628234863
BRA,1961,90.0783462524414
BRB,1961,99.52801259358723
BRN,1961,91.51674524943034
BTN,1961,61.410848617553725
BWA,1961,78.86426798502607
CAF,1961,35.6906983057658
CEB,1961,98.58594943315555
CHL,1961,95.9809326171875
CHN,1961,87.22095489501953
CIV,1961,49.002290725708
CMR,1961,67.81614303588866
COD,1961,72.09168090820313
COG,1961,75.19076919555667
COL,1961,93.46957111358643
COM,1961,57.28232421875
CPV,1961,80.36107635498047
CRI,1961,96.16152038574218
CSS,1961,88.96788754670516
CUB,1961,99.26784133911136
CYM,1961,98.8678207397461
CYP,1961,97.30113220214845
DOM,1961,89.24248712713069
DZA,1961,69.73938827514648
EAP,1961,84.51315409342448
EAR,1961,64.84660588140073
EAS,1961,84.89894375271267
ECA,1961,96.98764138472708
ECS,1961,97.01198998812971
ECU,1961,92.02127408981323
EGY,1961,63.45237197875978
ERI,1961,64.58248011271156
ESP,1961,97.54389280431411
EST,1961,99.81235694885254
ETH,1961,36.6997699737549
FCS,1961,62.10961347307477
GAB,1961,81.16115760803223
GEO,1961,99.54030990600586
GHA,1961,72.20354461669922
GIN,1961,32.086171785990416
