Country Code,year,inflation
ABW,1970,2.446481477384214
AFG,1970,25.510000228881836
AGO,1970,7.96999979019165
ALB,1970,15.221139720479087
ARE,1970,21.984699249267578
ARG,1970,13.586899757385254
ARM,1970,310.3541192350558
ATG,1970,8.869999885559082
AUS,1970,3.440000057220459
AUT,1970,4.369999885559082
AZE,1970,137.2168051408141
BDI,1970,-0.19965100288391113
BEL,1970,3.9100000858306885
BEN,1970,6.320000171661377
BFA,1970,1.7726000547409058
BGD,1970,3.5399999618530273
BGR,1970,-0.4000000059604645
BHR,1970,1.628980040550232
BHS,1970,6.152090072631836
BIH,1970,2.1612687417364858
BLR,1970,0.0
BLZ,1970,21.40999984741211
BOL,1970,3.955509901046753
BRA,1970,22.260000228881836
BRB,1970,7.284220218658447
BRN,1970,0.800000011920929
BTN,1970,5.650000095367432
BWA,1970,4.059999942779541
CAF,1970,4.599999904632568
CYM,1970,2.3784475856154503
CAN,1970,3.36611008644104
CHE,1970,3.616029977798462
CHL,1970,32.511600494384766
CHN,1970,1.059999942779541
CIV,1970,8.20518970489502
CMR,1970,5.858089923858643
COD,1970,8.025279998779297
COG,1970,1.399999976158142
COL,1970,6.9086198806762695
COM,1970,4.320000171661377
CPV,1970,4.389999866485596
CRI,1970,4.652299880981445
CUW,1970,3.646763359574469
CYP,1970,2.4001901149749756
CZE,1970,-0.4085800051689148
DEU,1970,3.445470094680786
DJI,1970,4.25
DMA,1970,12.393500328063965
DNK,1970,6.514840126037598
DOM,1970,3.8166699409484863
DZA,1970,6.599999904632568
ECU,1970,5.129990100860596
EGY,1970,3.7629001140594482
ERI,1970,9.378158342107136
ESP,1970,5.757619857788086
EST,1970,49.35282740188685
ETH,1970,10.121999740600586
FIN,1970,2.7329800128936768
FJI,1970,4.124179840087891
FRA,1970,5.845469951629639
FSM,1970,2.4959964304323554
GAB,1970,3.812659978866577
GBR,1970,6.366569995880127
GEO,1970,644.4484539132628
GHA,1970,3.0302999019622803
GIN,1970,4.329999923706055
GMB,1970,-1.9850900173187256
GNB,1970,4.400000095367432
GNQ,1970,1.6799999475479126
GRC,1970,3.191849946975708
GRD,1970,18.459999084472656
GTM,1970,2.3443400859832764
GUY,1970,3.369999885559082
HKG,1970,4.136520268341532
HND,1970,2.880889892578125
HRV,1970,116.31222774034586
HTI,1970,1.3684899806976318
HUN,1970,4.25
IDN,1970,12.348899841308594
IND,1970,5.095240116119385
IRL,1970,8.207189559936523
IRN,1970,1.6668699979782104
IRQ,1970,4.355599880218506
ISL,1970,13.08590030670166
ISR,1970,6.1107401847839355
ITA,1970,4.807690143585205
JAM,1970,14.727999687194824
JOR,1970,6.800000190734863
JPN,1970,7.673270225524902
KAZ,1970,223.47177098448736
KEN,1970,2.1885299682617188
KGZ,1970,48.81224617015785
KHM,1970,12.100000381469727
KIR,1970,2.962991836458156
KNA,1970,15.800000190734863
KOR,1970,16.075599670410156
KWT,1970,8.270000457763672
LAO,1970,0.3199999928474426
LBN,1970,0.009999999776482582
LBR,1970,1.5199999809265137
LBY,1970,-5.296370029449463
LCA,1970,13.398799896240234
LKA,1970,5.866960048675537
LSO,1970,13.399999618530273
LTU,1970,50.04060296385571
LUX,1970,4.638589859008789
LVA,1970,40.27736047644892
MAC,1970,2.3726863871163957
MAR,1970,1.2791800498962402
MDA,1970,86.79641028981929
MDG,1970,2.878649950027466
MDV,1970,4.320000171661377
MEX,1970,5.211730003356934
MHL,1970,2.6747368609528794
MKD,1970,112.62314129431196
MLI,1970,14.319999694824219
MLT,1970,3.7156600952148438
MMR,1970,-4.008440017700195
MNE,1970,5.9430872869719735
MNG,1970,33.81938926925446
MOZ,1970,4.699999809265137
MRT,1970,10.3100004196167
MUS,1970,1.5418699979782104
MWI,1970,9.529999732971191
MYS,1970,1.843940019607544
NAM,1970,5.590000152587891
NER,1970,1.117840051651001
NGA,1970,13.757100105285645
NIC,1970,26.670000076293945
NLD,1970,3.6799399852752686
NOR,1970,10.565500259399414
NPL,1970,15.237299919128418
NRU,1970,4.610333371082941
NZL,1970,6.710519790649414
OMN,1970,6.440000057220459
PAK,1970,5.34984016418457
PAN,1970,3.0832901000976562
PER,1970,5.025239944458008
PHL,1970,14.381500244140625
PLW,1970,2.6707272782596676
PNG,1970,0.6499999761581421
POL,1970,5.659999847412109
PRI,1970,2.019142860186951
PRT,1970,4.533329963684082
PRY,1970,-0.8595560193061829
PSE,1970,2.9591754040000002
QAT,1970,20.030000686645508
ROU,1970,0.4000000059604645
RUS,1970,0.10000000149011612
RWA,1970,0.5148860216140747
SAU,1970,0.17777800559997559
SDN,1970,4.0278000831604
SEN,1970,2.8102500438690186
SGP,1970,0.4633530080318451
SLB,1970,8.206687204509812
SLE,1970,6.403329849243164
SLV,1970,2.817850112915039
SMR,1970,1.6592602433724726
SRB,1970,14.368364318888254
SSD,1970,79.94598560996363
STP,1970,4.320000171661377
SUR,1970,2.5880401134490967
SVK,1970,6.674775553578775
SVN,1970,71.46516977155981
SWE,1970,7.016369819641113
SWZ,1970,1.8495399951934814
SYC,1970,14.890000343322754
SYR,1970,4.6376800537109375
TCD,1970,8.529999732971191
TGO,1970,4.48061990737915
THA,1970,0.800000011920929
TJK,1970,146.58953213089418
TKM,1970,238.4857971485138
TON,1970,-1.2000000476837158
TTO,1970,2.523900032043457
TUN,1970,1.0988999605178833
TUR,1970,6.929850101470947
TUV,1970,2.7354999973340473
TZA,1970,3.49288010597229
UGA,1970,9.800000190734863
UKR,1970,0.20000000298023224
URY,1970,16.306100845336914
USA,1970,5.895299911499023
