Country Code,year,govexp
ABW,1970,5.390460014343262
AFE,1970,4.394633477926252
AFG,1970,2.6923037171363844
AFW,1970,2.822888433933258
AGO,1970,3.1170866830008372
ALB,1970,3.3668634414672853
AND,1970,2.7491344544622627
ARB,1970,3.8948111454645793
ARE,1970,2.0256467103958142
ARG,1970,1.4580899477005
ARM,1970,2.67425045867761
ASM,1970,14.7170495986938
ATG,1970,2.841239103904137
AUS,1970,5.1725976326886345
AUT,1970,4.14716005325317
AZE,1970,3.140268463354844
BDI,1970,4.611830746686017
BEL,1970,5.67661085622064
BEN,1970,2.8802348064339687
BFA,1970,3.5355524718761435
BGD,1970,1.7766872985022408
BGR,1970,3.831792206599795
BHR,1970,2.681779980659485
BIH,1970,
BLR,1970,5.190407853377493
BLZ,1970,6.530758268692914
BMU,1970,2.321641927957535
BOL,1970,8.316376772793857
BRA,1970,5.166201385584745
BRB,1970,5.354309986035028
BRN,1970,6.23915004730225
BTN,1970,6.095918602413603
BWA,1970,6.3450733290778265
CAF,1970,1.8208500009316662
CAN,1970,5.920394155714247
CEB,1970,4.7026893901824955
CHE,1970,4.712657781747671
CHI,1970,
CHL,1970,3.8241936248891504
CHN,1970,2.4853317156070616
CIV,1970,5.86538982391357
CMR,1970,2.830434080213309
COL,1970,3.9327972387445382
COM,1970,2.76665872335434
CPV,1970,5.80948295091328
CRI,1970,5.55757030125322
CSS,1970,4.6297765834765
CUB,1970,6.096920676117373
CUW,1970,6.500905922480993
CYM,1970,2.115682721138
CYP,1970,4.889727109954471
CZE,1970,4.189438572951725
DEU,1970,4.701914000511169
DJI,1970,6.55954561514013
DMA,1970,4.867326521873475
DNK,1970,5.95553016662598
DOM,1970,2.64078998565674
DZA,1970,6.453123982747396
EAP,1970,3.3760655295281197
EAR,1970,3.899341498102461
EAS,1970,3.5566312562335614
ECA,1970,3.8221953457052056
ECS,1970,4.725344095230103
ECU,1970,2.00283002853394
EMU,1970,4.854507372492836
ERI,1970,3.481281518936158
ESP,1970,1.83300995826721
EST,1970,5.404097576141357
ETH,1970,4.025005531311035
EUU,1970,4.919514853378822
FCS,1970,3.267714056101714
FIN,1970,5.413489818573
FJI,1970,5.163519703424894
FRA,1970,3.4297399520874
FRO,1970,8.036677181720735
GAB,1970,3.0491166909535723
GBR,1970,4.977822075719419
GEO,1970,3.013873977661133
GHA,1970,4.704415333271027
GIB,1970,
GIN,1970,2.239290439564249
